Census Tract,Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,CES 3.0 Score, CES 3.0 Percentile,"CES 3.0 
Percentile Range",SB 535 Disadvantaged Community,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6081606000,4959,San Mateo,94401,San Mateo,-122.3311046,37.5797295,24.95,49.79,45-50%,No,0.033,11.08,8.69794377,30.70,12.770,38.06,103.34,8.08,0.00,0.00,143.726989,29.97,1585.19,84.63,2.95,31.38,32.75,83.60,0.25,65.56,10,85.78,0,0.00,37.04,4.56,37.29,48.62,54.53,5.3,60.50,3.9,4.04,22,65.64,16,77.08,41.3,61.50,11.7,68.17,19.4,56.50,52.73,5.47,53.92
6059099902,4486,Orange ,92683,Westminster,-118.0205108,33.7662506,24.95,49.78,45-50%,No,0.044,40.49,11.21,66.23,19.340,59.70,445.39,46.05,0.00,0.00,14628.58791,96.40,2467.22,94.71,1.7,22.93,2.3,14.20,0.05,25.76,0,0.00,0,0.00,42.63,5.25,52.00,38.28,39.13,3.48,16.17,8.73,59.83,17.4,57.04,11.1,62.90,31.4,47.00,8.1,39.54,20.2,59.82,45.82,4.75,43.66
6037310201,5466,Los Angeles,91501,Burbank,-118.3045921,34.1922052,24.94,49.77,45-50%,No,0.055,77.87,12.05,81.66,8.918,25.44,710.19,83.27,0.00,0.00,1598.32226,65.08,304.06,12.45,5.1,44.58,8,42.85,0.325,70.38,0,0.00,3.75,65.53,47.82,5.89,66.41,36.48,36.37,4.01,26.44,7.11,38.84,7.8,31.34,4,30.14,35.9,53.78,7.7,35.89,30.1,87.81,40.84,4.24,35.88
6001441926,4080,Alameda ,94538,Fremont,-121.9787103,37.5408003,24.93,49.75,45-50%,No,0.035,16.94,9.53630303,40.92,33.901,89.20,83.53,7.30,0.00,0.00,133.8603124,28.85,609.51,42.55,10.6,64.01,19.5,70.01,0.025,15.68,0,0.00,0,0.00,31.48,3.88,23.24,67.67,76.61,6.64,86.72,10.69,80.20,17.5,57.22,18.8,82.24,29.5,44.02,1.6,0.62,13.9,30.01,62.00,6.43,68.03
6037128702,5639,Los Angeles,91423,Sherman Oaks,-118.439318,34.160869,24.92,49.74,45-50%,No,0.053,73.93,11.21,66.23,25.490,77.32,618.05,69.85,0.00,0.00,1054.631792,60.69,2994.92,97.37,0,0.00,4,26.91,0.1,43.11,6,63.17,0,0.00,51.30,6.32,75.73,27.26,20.17,4.09,28.31,8.63,58.52,4.8,18.85,3.2,24.17,15.7,17.69,11.8,68.79,23.6,72.42,38.03,3.94,31.73
6037461300,6638,Los Angeles,91104,Pasadena,-118.111733,34.1740052,24.91,49.73,45-50%,No,0.051,69.23,10.37,52.61,21.762,66.51,707.14,82.59,0.00,0.00,2638.123137,71.35,460.9,26.78,6,48.25,6,36.38,0.085,31.73,0,0.00,0.5,20.49,44.27,5.45,56.80,33.07,30.25,5.58,67.72,5.25,14.94,14.4,50.79,12.4,67.32,28.2,41.86,8.8,45.97,17.2,46.43,44.05,4.57,40.99
6111008201,4315,Ventura ,93063,Simi Valley,-118.7043688,34.2762804,24.91,49.72,45-50%,No,0.055,77.87,9.53630303,40.92,10.580,30.27,263.30,26.44,0.00,0.00,41.03369045,17.10,1108.82,72.13,0,0.00,0,0.00,0.15,54.01,16,97.26,0,0.00,35.30,4.35,32.79,40.82,43.35,7.25,92.52,11.19,84.23,9.3,36.94,1.3,8.25,25.5,37.07,9.4,51.17,18.5,52.30,55.26,5.73,57.86
6085512509,4111,Santa Clara,95020,Gilroy,-121.5713496,36.9878533,24.91,49.70,45-50%,No,0.040,25.87,6.18286598,7.76,14.858,45.19,422.77,43.89,5739.91,96.71,4.4923616,6.75,770.95,55.04,5.95,46.79,0,0.00,0.085,31.73,2,29.25,2.5,57.18,37.78,4.65,39.17,67.35,76.35,3.66,19.22,10.47,78.18,18.9,59.82,NA,NA,30,44.81,3.1,2.84,24,73.80,51.62,5.35,52.39
6085506402,5733,Santa Clara,95128,San Jose,-121.9450314,37.301578,24.91,49.69,45-50%,No,0.038,22.34,10.37,52.61,28.670,82.95,479.23,51.02,0.00,0.00,135.4535711,28.95,1750.28,87.69,0,0.00,7.5,41.10,0.11,45.80,2,29.25,0.5,20.49,40.11,4.94,45.20,31.77,28.29,6.61,86.47,6.53,30.84,11.8,44.56,7.7,49.70,26.2,38.16,12.1,70.57,16.1,40.44,48.61,5.04,47.93
6067005508,3106,Sacramento ,95825,Sacramento,-121.4084122,38.577969,24.91,49.68,45-50%,No,0.050,64.80,9.53630303,40.92,18.060,54.90,690.22,81.59,0.00,0.00,239.1978379,39.67,702.3,50.23,4,39.00,0,0.00,0.1,43.11,7,71.61,0,0.00,41.88,5.16,50.18,64.96,74.29,4.67,43.05,5.98,23.70,4.1,15.28,2.2,15.68,42.4,63.13,11,63.24,23.8,73.17,46.56,4.83,44.92
6073003004,4940,San Diego,92114,San Diego,-117.0607339,32.7130823,24.90,49.67,45-50%,No,0.040,25.87,11.21,66.23,9.099,25.96,289.10,30.62,0.00,0.00,233.1569563,39.39,269.97,9.84,1,17.97,10,49.69,0,0.00,2,29.25,0,0.00,25.31,3.12,10.32,106.71,93.95,5.6,68.20,8.3,54.79,37.1,84.32,12.6,68.07,52.5,76.22,17.4,91.37,30.6,88.58,77.01,7.99,89.72
6071000109,6752,San Bernardino,91709,Chino Hills,-117.723592,33.9733621,24.90,49.65,45-50%,No,0.057,82.10,12.89,92.89,14.686,44.64,827.03,91.73,0.00,0.00,6737.07403,87.42,375.98,18.59,0,0.00,5,32.03,0,0.00,4,48.80,0,0.00,45.14,5.56,59.08,27.71,20.91,5.05,53.58,8.57,57.82,10.1,39.67,3.5,26.28,20.2,27.09,22.3,97.54,11.9,20.73,43.18,4.48,39.56
6053014201,5133,Monterey ,93933,Marina,-121.7937321,36.6765137,24.88,49.64,45-50%,No,0.035,16.94,5.34450672,3.92,5.407,14.84,542.29,56.80,19.73,63.92,0.601195344,4.27,731.51,52.51,19,82.52,13.5,57.60,0.1,43.11,0,0.00,1,32.80,34.71,4.27,31.16,57.15,65.68,3.48,16.17,8.56,57.57,18,58.18,9.3,56.37,44.2,65.87,10.3,58.46,31.3,90.00,56.12,5.82,59.25
6037400604,2980,Los Angeles,91702,Azusa,-117.8943529,34.1521342,24.87,49.63,45-50%,No,0.057,82.10,10.79,54.48,6.550,17.70,533.72,56.18,0.19,25.93,3766.960467,76.05,182.81,4.71,0.9,12.86,10.75,51.14,0,0.00,0,0.00,0,0.00,34.47,4.25,30.54,66.21,75.20,3.64,18.85,9.1,64.39,16.4,55.22,8.4,52.90,48.4,71.36,10.7,61.35,20.2,59.82,56.47,5.86,59.65
6037408212,4485,Los Angeles,91748,Rowland Heights,-117.8795412,33.9944207,24.86,49.62,45-50%,No,0.051,69.23,11.63,69.14,12.751,37.93,276.16,28.46,0.00,0.00,11515.97711,94.91,1606.85,84.99,13,72.44,29.3,80.90,0.65,81.76,1,15.26,2,50.44,56.69,6.98,86.33,26.68,19.01,2.96,8.39,5.88,22.34,18.9,59.82,19.9,84.22,34.1,50.95,3.7,5.11,20.3,60.24,34.33,3.56,25.83
6073013302,4933,San Diego,91911,Chula Vista,-117.048661,32.6155251,24.85,49.60,45-50%,No,0.040,25.87,11.63,69.14,13.333,40.22,304.94,32.58,0.00,0.00,943.5828528,59.59,1158.69,73.92,0,0.00,0,0.00,0,0.00,1,15.26,0,0.00,29.71,3.66,19.02,68.62,77.41,5.67,69.86,8.85,61.45,24.5,69.40,11.3,63.67,33.1,49.45,17.3,91.10,14.6,33.07,65.46,6.79,73.31
6013303201,9989,Contra Costa,94531,Antioch,-121.7586352,37.9431268,24.84,49.59,45-50%,No,0.042,31.84,7.85958451,17.81,17.008,51.79,255.74,25.88,16.34,62.60,276.3267766,41.37,480.24,28.79,0.2,2.72,10,49.69,0.05,25.76,7,71.61,0,0.00,34.75,4.28,31.31,93.79,90.82,5.27,59.76,12.13,89.20,7.8,31.34,2.7,20.05,21,28.81,7.5,33.82,17.1,45.93,55.96,5.80,58.95
6085504317,4429,Santa Clara,95131,San Jose,-121.8767483,37.3828815,24.84,49.58,45-50%,No,0.035,16.94,10.37,52.61,28.400,82.35,479.23,51.02,0.00,0.00,328.6976752,43.46,577.74,39.10,16,78.77,0,0.00,0.67,82.13,2,29.25,1.4,37.14,42.34,5.22,51.23,27.62,20.71,5.54,66.51,6.84,35.21,18.4,58.97,19.2,83.03,18.1,22.77,8.3,41.43,17.7,49.01,45.92,4.76,43.81
6065042726,5357,Riverside ,92585,Sun City,-117.1237892,33.7143137,24.84,49.56,45-50%,No,0.062,91.10,10.37,52.61,8.574,24.39,747.77,86.70,37.12,68.87,538.3111801,51.95,248.67,8.30,0,0.00,3,21.88,0.6,80.61,0,0.00,4.9,70.81,48.12,5.93,67.21,29.98,25.03,5.25,59.30,10.36,77.43,16.6,55.60,1.7,11.52,14.6,15.51,8.6,44.04,8.4,7.79,40.41,4.19,35.17
6065043270,4991,Riverside ,92595,Wildomar,-117.2589261,33.6015412,24.83,49.55,45-50%,No,0.057,82.10,9.1171234,32.61,12.094,35.26,431.70,44.69,0.00,0.00,152.50978,31.12,1274.79,77.45,0,0.00,0,0.00,0.01,8.56,7,71.61,0,0.00,34.22,4.22,29.84,42.6,45.88,4.37,35.14,15.62,98.37,9.6,37.84,4.8,35.21,31.2,46.69,20.1,95.58,18.8,53.71,56.80,5.89,60.06
6067003900,3374,Sacramento ,95822,Sacramento,-121.5186401,38.5303294,24.83,49.54,45-50%,No,0.046,53.02,9.53630303,40.92,13.370,40.36,80.01,6.26,0.20,26.39,113.8142822,26.49,1107.73,72.04,0,0.00,20,71.07,0,0.00,10,85.78,0,0.00,35.74,4.40,33.91,99.65,92.74,7.07,91.17,9.98,74.48,7.5,30.00,6.2,42.85,18.1,22.77,5,12.69,7.1,4.86,54.38,5.64,56.32
6037503302,6271,Los Angeles,90604,Whittier,-118.0213686,33.9416417,24.81,49.53,45-50%,No,0.046,53.02,12.05,81.66,11.780,34.15,571.40,60.18,0.00,0.00,5706.949094,83.26,571.18,38.50,1,17.97,0,0.00,0.11,45.80,2,29.25,0,0.00,39.61,4.88,44.00,48.1,53.72,3.22,11.82,10.01,74.77,25.8,71.10,9.1,55.59,40.8,60.73,5.9,20.10,17.7,49.01,49.04,5.09,48.54
6085512038,2847,Santa Clara,95138,San Jose,-121.7620634,37.234934,24.81,49.51,45-50%,No,0.038,22.34,10.37,52.61,13.612,41.18,560.30,59.21,0.33,29.64,58.93507832,20.79,1216.01,75.69,5.3,45.22,6.5,37.72,0.6,80.61,2,29.25,0,0.00,41.56,5.12,49.36,26.66,18.98,5.66,69.68,6.12,25.37,13.2,48.07,15.7,76.31,26.7,39.07,15.1,84.73,13.7,29.06,46.73,4.85,45.13
6029002821,4897,Kern ,93311,Bakersfield,-119.1021478,35.3162893,24.80,49.50,45-50%,No,0.062,91.10,18.76,99.64,21.679,65.94,617.84,66.10,0.00,0.00,695.4534227,55.86,515.55,32.56,7,52.46,0,0.00,0.045,18.92,0,0.00,0,0.00,43.92,5.41,55.67,33.48,30.89,6.25,81.24,7.86,48.97,11.3,43.17,4,30.14,27.3,40.21,7.8,36.77,12.4,23.19,44.20,4.58,41.20
6037106645,3389,Los Angeles,91344,Granada Hills,-118.4941725,34.2905628,24.79,49.49,45-50%,No,0.060,85.21,10.79,54.48,24.477,74.54,616.31,65.87,0.00,0.00,436.5917507,48.67,1137.6,73.14,0,0.00,0,0.00,0.05,25.76,1,15.26,3.75,65.53,45.38,5.59,59.65,53.41,60.83,4.97,51.57,7.65,46.00,3,10.24,7.6,49.33,20.8,28.37,8.2,40.51,15,35.16,42.76,4.43,38.84
6037408136,3849,Los Angeles,91792,West Covina,-117.8755476,34.0089143,24.78,49.48,45-50%,No,0.053,73.93,11.63,69.14,24.760,75.51,276.16,28.46,0.00,0.00,12369.33198,95.37,510.16,31.88,3,32.71,6.25,36.73,0.2,60.50,1,15.26,0,0.00,45.33,5.58,59.49,30.34,25.70,4.9,49.65,5.69,19.92,15.3,52.93,15.4,75.39,28.3,41.97,10.4,59.12,16,39.87,42.81,4.44,38.93
6073018610,7635,San Diego,92057,Oceanside,-117.3032478,33.2591005,24.78,49.46,45-50%,No,0.044,40.49,8.69794377,30.70,14.960,45.51,483.28,51.57,199.23,79.92,45.32502774,18.02,645.34,45.81,6,48.25,0,0.00,0,0.00,5,55.01,0,0.00,36.60,4.51,36.07,36.79,36.79,4.54,39.74,6.96,36.70,29.5,76.00,11.4,63.98,42,62.54,11.7,68.17,23,70.53,52.99,5.50,54.23
6073018519,5891,San Diego,92056,Oceanside,-117.2838101,33.1943943,24.77,49.45,45-50%,No,0.042,31.84,9.53630303,40.92,16.120,49.15,504.30,53.55,0.00,0.00,50.23258055,19.28,1347.54,79.41,7,52.46,12,54.27,0.075,30.58,3,41.15,0,0.00,38.01,4.68,39.79,33.32,30.73,5.23,58.80,5.65,19.51,30.3,76.79,22.7,87.89,51,74.32,11.1,64.04,12.9,25.51,51.03,5.29,51.68
6065044702,2295,Riverside ,92234,Cathedral City,-116.4872959,33.8222736,24.77,49.44,45-50%,No,0.068,100.00,7.02122524,10.74,9.172,26.30,579.61,61.07,0.00,0.00,37.28589451,16.36,619.93,43.64,9,59.85,0,0.00,0,0.00,0,0.00,1,32.80,30.76,3.79,21.29,34.64,32.76,7.6,94.77,6.99,37.04,52.1,95.14,19.8,84.07,80.8,98.62,6,20.60,19.7,57.74,63.05,6.54,69.72
6111001204,2473,Ventura ,93060,Santa Paula,-119.2005749,34.3589732,24.75,49.43,45-50%,No,0.050,64.80,9.1171234,32.61,0.868,3.30,648.17,73.02,55.51,71.99,31.93353177,15.18,366.13,17.87,2,27.29,9.5,47.17,1.25,88.77,7,71.61,2.5,57.18,46.02,5.67,61.37,26.97,19.51,4.86,48.52,4.75,10.30,22,65.64,6,41.77,41.7,62.07,16.4,88.68,14.4,32.25,42.10,4.37,37.65
6037910504,4797,Los Angeles,93550,Palmdale,-118.1046034,34.5690669,24.74,49.41,45-50%,No,0.062,91.10,6.18286598,7.76,8.918,25.45,243.83,24.69,0.00,0.00,5.788471438,7.16,629.8,44.33,0,0.00,0,0.00,0.025,15.68,0,0.00,1,32.80,22.33,2.75,5.85,106.26,93.89,7.67,95.13,13.06,93.23,42.4,89.12,5.9,41.25,73.1,95.11,15.3,85.53,29.1,86.06,86.75,9.00,97.76
6037401101,5663,Los Angeles,91740,Glendora,-117.8541745,34.1234558,24.74,49.40,45-50%,No,0.060,85.21,11.21,66.23,19.234,59.34,289.15,30.68,0.00,0.00,4186.484105,77.41,2012.97,91.05,0,0.00,2,13.52,0.01,8.56,0,0.00,0.5,20.49,41.88,5.16,50.19,49.1,55.06,3.3,13.21,8.18,53.43,10.3,40.31,4.3,32.20,35.4,53.07,14.8,83.70,18,50.33,46.25,4.80,44.55
6059099224,3521,Orange ,92708,Fountain Valley,-117.9676275,33.72311,24.74,49.39,45-50%,No,0.044,40.49,11.21,66.23,22.500,68.34,251.44,25.37,0.05,15.20,12118.91423,95.17,1945.3,90.37,0,0.00,13.5,57.60,0.05,25.76,0,0.00,0,0.00,43.76,5.39,55.26,29.56,24.34,6.43,83.87,7.15,39.42,9.1,36.30,9.4,56.85,17,20.39,6.1,21.28,20.6,61.65,44.25,4.59,41.30
6059001501,6373,Orange ,92821,Brea,-117.9135026,33.9340988,24.73,49.38,45-50%,No,0.048,60.88,11.21,66.23,22.641,68.71,631.67,71.39,20.32,64.16,9601.036491,93.10,728.64,52.31,20.55,84.00,18,67.64,1.545,90.29,0,0.00,1,32.80,63.72,7.85,95.17,31.92,28.62,4.55,40.15,6.92,36.19,4.2,15.76,1.2,7.44,21.6,29.88,9.3,50.27,12.9,25.51,30.38,3.15,20.61
6081604400,4448,San Mateo,94030,Millbrae,-122.3911489,37.6067243,24.72,49.36,45-50%,No,0.030,7.58,8.69794377,30.70,24.034,73.42,604.59,64.65,0.00,0.00,122.2950995,27.49,1278.34,77.58,16,78.77,81.45,96.11,0.3,69.19,9,80.63,0,0.00,48.45,5.97,68.19,39.52,41.04,5.78,72.11,5.39,16.49,8,32.15,12.8,68.62,16.4,19.08,6.3,23.07,16.1,40.44,39.94,4.14,34.39
6037119310,3871,Los Angeles,91402,Panorama City,-118.4516702,34.2450202,24.72,49.35,45-50%,No,0.057,82.10,11.21,66.23,18.430,56.64,618.05,69.85,0.00,0.00,642.606483,54.51,699.71,49.96,0,0.00,0,0.00,0.01,8.56,0,0.00,0,0.00,36.69,4.52,36.38,48.29,54.15,3.92,24.43,5.26,15.02,32.3,79.11,14.8,73.92,50.3,73.53,17.1,90.63,18.9,54.18,52.74,5.47,53.93
6059075303,3412,Orange ,92706,Santa Ana,-117.8739874,33.7661611,24.71,49.34,45-50%,No,0.046,53.02,10.37,52.61,14.030,42.74,377.39,39.98,0.00,0.00,36238.03154,99.20,5761.93,99.94,3,32.71,0,0.00,0.075,30.58,1,15.26,2,50.44,45.50,5.60,60.00,46.21,51.15,4.7,43.78,7.16,39.50,13.6,49.17,8.8,54.50,29.5,44.02,4.2,7.50,17.1,45.93,42.52,4.41,38.40
